#Digilent WaveForms Oscilloscope Acquisition,,,,,
#Device Name: Discovery2,,,,,
#Serial Number: SN:210321AFD7CC,,,,,
#Date Time: 2020-09-24 15:58:33.471,,,,,
#Sample rate: 54615Hz,,,,,
#Samples: 8192,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 900 mV Hyst.: Auto HoldOff: 0 s,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Wavegen Channel 1: Running,,,,,
#Mode: Simple,,,,,
#Type: Pulse,,,,,
#Frequency: 1 Hz,,,,,
#Period: 1 s,,,,,
#Amplitude: 2.5 V,,,,,
#Offset: 0 V,,,,,
#Symmetry: 0.4 %,,,,,
#Phase: 0 °,,,,,
,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,
-0.073299462,-0.004771093,0.001619309,0.001179108,-0.69092073,9.426
-0.073281152,-0.004771093,0.001619309,0.001179108,-0.690235172,9.419
-0.073262842,-0.004771093,0.001619309,0.001179108,-0.689549871,9.412
-0.073244532,-0.004771093,0.001619309,0.001179108,-0.688864825,9.405
-0.073226222,-0.004771093,0.001619309,0.001179108,-0.688180036,9.398
-0.073207912,-0.004771093,0.004971471,0.003620001,-0.687495503,9.391
-0.073189602,-0.008089353,0.004971471,0.003620001,-0.686811227,9.384
-0.073171292,-0.008089353,0.004971471,0.003620001,-0.686127207,9.377
-0.073152982,-0.004771093,0.004971471,0.003620001,-0.685443443,9.37
-0.073134672,-0.004771093,0.004971471,0.003620001,-0.684759936,9.363
-0.073116362,-0.004771093,0.004971471,0.003620001,-0.684076685,9.356
-0.073098052,-0.004771093,0.004971471,0.003620001,-0.68339369,9.349
-0.073079742,-0.004771093,0.001619309,0.001179108,-0.682710951,9.342
-0.073061432,-0.004771093,0.004971471,0.003620001,-0.682028469,9.335
-0.073043122,-0.004771093,0.004971471,0.003620001,-0.681346244,9.328
-0.073024812,-0.008089353,0.004971471,0.003620001,-0.680664274,9.321
-0.073006502,-0.004771093,0.004971471,0.003620001,-0.679982561,9.314
-0.072988192,-0.004771093,0.004971471,0.003620001,-0.679301105,9.307
-0.072969882,-0.004771093,0.004971471,0.003620001,-0.678619904,9.3
-0.072951572,-0.004771093,0.004971471,0.003620001,-0.67793896,9.293
-0.072933262,-0.004771093,0.004971471,0.003620001,-0.677258273,9.286
-0.072914952,-0.004771093,0.004971471,0.003620001,-0.676577841,9.279
-0.072896642,-0.004771093,0.004971471,0.003620001,-0.675897666,9.272
-0.072878332,-0.004771093,0.001619309,0.001179108,-0.675217748,9.265
-0.072860022,-0.004771093,0.001619309,0.001179108,-0.674538085,9.258
-0.072841712,-0.008089353,0.001619309,0.001179108,-0.673858679,9.251
-0.072823402,-0.004771093,0.001619309,0.001179108,-0.67317953,9.244
