#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AFD7CC
#Date Time: 2020-11-20 19:58:36.640
#Start: 0.1 Hz
#Stop: 1e+06 Hz
#Steps: 501
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 54.3664 V
#Offset: 0.00145283 V
#Relative: no
#Channel: Channel 2
#Range: 54.9218 V
#Offset: 0.00173285 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
16.82674061070471,0.08885830552406371,-0.0339023663072158,-3.069845861816276
17.37800828749377,0.08957936952401938,-0.03627354193945408,-3.175202132905127
17.94733626832529,0.08992299433012754,-0.03720200646668211,-3.308106788960234
18.53531623414814,0.0879840298724399,-0.03565266477381643,-3.390007584962632
19.14255925021086,0.08897944306782943,-0.0375811198688294,-3.50723577888607
19.76969640111862,0.08944301611715598,-0.04014033451035744,-3.62902851719782
20.41737944669532,0.0893097921630609,-0.03980969082698452,-3.728853404773787
21.08628149933293,0.08961922965641314,-0.04231573569732293,-3.859104873948226
21.77709772353164,0.08860758976875986,-0.04144413922575813,-4.002714714438071
22.49054605835783,0.08783924929268729,-0.04353304198686013,-4.115867245558869
23.2273679635711,0.08845943603362683,-0.04555149579358656,-4.250521275037698
23.98832919019495,0.08862016119032692,-0.0467999091114011,-4.379964294796345
24.77422057633287,0.08940164394023771,-0.05134352280477064,-4.533158622507287
25.58585886905643,0.08701660910053303,-0.04909966397118791,-4.685573083110356
26.42408757321945,0.08895760560912064,-0.05529325067879645,-4.822506326900051
27.28977782808041,0.08897534475443522,-0.0563691690145712,-4.986949525964647
28.18382931264455,0.08801103735127914,-0.05942520267122536,-5.152096727747562
29.10717118066603,0.08841745022596115,-0.06030815702870843,-5.313545972792269
30.0607630262823,0.08788593080310771,-0.06362091447146502,-5.483081346789895
31.04559588128356,0.08895585968614608,-0.06735374006067438,-5.668263622838964
32.06269324505468,0.08828405792406896,-0.07063587467534685,-5.846311951677706
33.11311214825908,0.087913859776603,-0.07359871732489973,-6.030760165292904
34.19794425137088,0.08822479331261995,-0.07738972011724282,-6.225063641435739
35.31831697919571,0.08717487931842051,-0.08155380302632903,-6.422541198768023
36.47539469256081,0.08679732047218426,-0.08311251415407368,-6.635822246061807
37.67037989839086,0.08765655168643119,-0.08852559480666083,-6.842329957234966
38.90451449942805,0.08690663791883511,-0.09034582130210868,-7.062117846334957
40.17908108489401,0.08702796138730806,-0.09628000433590148,-7.305946548345744
41.49540426343633,0.08759603731942028,-0.1024050710931141,-7.520210308621685
42.85485203974392,0.08669276115369662,-0.1057956244054337,-7.773891855872463
44.25883723626265,0.08671173561123528,-0.1134625674636916,-8.030828131888045
45.70881896148752,0.08745135548904744,-0.1184678525589752,-8.274565030568567
47.2063041263591,0.08645714827566914,-0.1254244283834472,-8.550711234317077
48.75284901033861,0.08605941957544362,-0.1319282792010471,-8.830026791125078
50.35006087879049,0.08564601365240955,-0.1396816628997864,-9.11317863779573
